Date,POC,PM2.5,AQI_VALUE,COUNTY,LATITUDE,LONGITUDE
5/14/2020,1,6.9,29,Denton,33.219069,-97.196284
5/15/2020,1,6.6,28,Denton,33.219069,-97.196284
5/16/2020,1,2.7,11,Denton,33.219069,-97.196284
5/17/2020,1,3.4,14,Denton,33.219069,-97.196284
5/18/2020,1,6,25,Denton,33.219069,-97.196284
5/19/2020,1,7,29,Denton,33.219069,-97.196284
5/20/2020,1,8.5,35,Denton,33.219069,-97.196284
5/21/2020,1,16.1,59,Denton,33.219069,-97.196284
5/22/2020,1,11.5,48,Denton,33.219069,-97.196284
5/23/2020,1,8.4,35,Denton,33.219069,-97.196284
5/24/2020,1,3.9,16,Denton,33.219069,-97.196284
5/25/2020,1,2.6,11,Denton,33.219069,-97.196284
5/26/2020,1,1,4,Denton,33.219069,-97.196284
5/27/2020,1,3.3,14,Denton,33.219069,-97.196284
5/28/2020,1,3.8,16,Denton,33.219069,-97.196284
5/29/2020,1,4.1,17,Denton,33.219069,-97.196284
5/30/2020,1,6.5,27,Denton,33.219069,-97.196284
5/31/2020,1,7,29,Denton,33.219069,-97.196284
6/1/2020,1,10.2,43,Denton,33.219069,-97.196284
6/2/2020,1,11.7,49,Denton,33.219069,-97.196284
6/3/2020,1,9.9,41,Denton,33.219069,-97.196284
6/4/2020,1,6.2,26,Denton,33.219069,-97.196284
6/5/2020,1,8.1,34,Denton,33.219069,-97.196284
6/6/2020,1,9,38,Denton,33.219069,-97.196284
6/7/2020,1,8.6,36,Denton,33.219069,-97.196284
6/8/2020,1,8.3,35,Denton,33.219069,-97.196284
6/9/2020,1,10.2,43,Denton,33.219069,-97.196284
6/11/2020,1,3.1,13,Denton,33.219069,-97.196284
6/12/2020,1,6.5,27,Denton,33.219069,-97.196284
6/13/2020,1,6.9,29,Denton,33.219069,-97.196284
6/14/2020,1,8.5,35,Denton,33.219069,-97.196284
6/15/2020,1,12,50,Denton,33.219069,-97.196284
6/16/2020,1,9.2,38,Denton,33.219069,-97.196284
6/17/2020,1,8.8,37,Denton,33.219069,-97.196284
6/18/2020,1,7,29,Denton,33.219069,-97.196284
6/19/2020,1,6.1,25,Denton,33.219069,-97.196284
6/20/2020,1,5.3,22,Denton,33.219069,-97.196284
6/21/2020,1,4.2,18,Denton,33.219069,-97.196284
6/22/2020,1,4.9,20,Denton,33.219069,-97.196284
6/23/2020,1,5,21,Denton,33.219069,-97.196284
6/24/2020,1,5.1,21,Denton,33.219069,-97.196284
6/25/2020,1,8.7,36,Denton,33.219069,-97.196284
6/26/2020,1,20.6,69,Denton,33.219069,-97.196284
6/27/2020,1,52,142,Denton,33.219069,-97.196284
6/28/2020,1,22.4,73,Denton,33.219069,-97.196284
